model_id,name,author,likes,downloads,tags,parameters,pipeline_tag,last_modified
deepseek-ai/DeepSeek-R1,,,12494,843787,"transformers, safetensors, deepseek_v3, text-generation, conversational, custom_code, arxiv:2501.12948, license:mit, autotrain_compatible, text-generation-inference, endpoints_compatible, fp8, region:us",,text-generation,
black-forest-labs/FLUX.1-dev,,,10918,1439124,"diffusers, safetensors, text-to-image, image-generation, flux, en, license:other, endpoints_compatible, diffusers:FluxPipeline, region:us",,text-to-image,
CompVis/stable-diffusion-v1-4,,,6871,3482531,"diffusers, safetensors, stable-diffusion, stable-diffusion-diffusers, text-to-image, arxiv:2207.12598, arxiv:2112.10752, arxiv:2103.00020, arxiv:2205.11487, arxiv:1910.09700, license:creativeml-openrail-m, autotrain_compatible, endpoints_compatible, diffusers:StableDiffusionPipeline, region:us",,text-to-image,
stabilityai/stable-diffusion-xl-base-1.0,,,6734,2401253,"diffusers, onnx, safetensors, text-to-image, stable-diffusion, arxiv:2307.01952, arxiv:2211.01324, arxiv:2108.01073, arxiv:2112.10752, license:openrail++, autotrain_compatible, endpoints_compatible, diffusers:StableDiffusionXLPipeline, region:us",,text-to-image,
meta-llama/Meta-Llama-3-8B,,,6250,314152,"transformers, safetensors, llama, text-generation, facebook, meta, pytorch, llama-3, en, license:llama3, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",8000000000.0,text-generation,
bigscience/bloom,,,4920,3818,"transformers, pytorch, tensorboard, safetensors, bloom, text-generation, ak, ar, as, bm, bn, ca, code, en, es, eu, fon, fr, gu, hi, id, ig, ki, kn, lg, ln, ml, mr, ne, nso, ny, or, pa, pt, rn, rw, sn, st, sw, ta, te, tn, ts, tum, tw, ur, vi, wo, xh, yo, zh, zu, arxiv:2211.05100, arxiv:1909.08053, arxiv:2110.02861, arxiv:2108.12409, doi:10.57967/hf/0003, license:bigscience-bloom-rail-1.0, model-index, co2_eq_emissions, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",,text-generation,
stabilityai/stable-diffusion-3-medium,,,4801,13422,"diffusion-single-file, text-to-image, stable-diffusion, en, arxiv:2403.03206, license:other, region:us",,text-to-image,
hexgrad/Kokoro-82M,,,4675,1503133,"text-to-speech, en, arxiv:2306.07691, arxiv:2203.02395, base_model:yl4579/StyleTTS2-LJSpeech, base_model:finetune:yl4579/StyleTTS2-LJSpeech, doi:10.57967/hf/4329, license:apache-2.0, region:us",,text-to-speech,
openai/whisper-large-v3,,,4649,3052116,"transformers, pytorch, jax, safetensors, whisper, automatic-speech-recognition, audio, hf-asr-leaderboard, en, zh, de, es, ru, ko, fr, ja, pt, tr, pl, ca, nl, ar, sv, it, id, hi, fi, vi, he, uk, el, ms, cs, ro, da, hu, ta, no, th, ur, hr, bg, lt, la, mi, ml, cy, sk, te, fa, lv, bn, sr, az, sl, kn, et, mk, br, eu, is, hy, ne, mn, bs, kk, sq, sw, gl, mr, pa, si, km, sn, yo, so, af, oc, ka, be, tg, sd, gu, am, yi, lo, uz, fo, ht, ps, tk, nn, mt, sa, lb, my, bo, tl, mg, as, tt, haw, ln, ha, ba, jw, su, arxiv:2212.04356, license:apache-2.0, endpoints_compatible, region:us",,automatic-speech-recognition,
meta-llama/Llama-2-7b-chat-hf,,,4499,1043239,"transformers, pytorch, safetensors, llama, text-generation, facebook, meta, llama-2, conversational, en, arxiv:2307.09288, license:llama2, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",7000000000.0,text-generation,
mistralai/Mixtral-8x7B-Instruct-v0.1,,,4492,387691,"transformers, safetensors, mixtral, text-generation, conversational, fr, it, de, es, en, base_model:mistralai/Mixtral-8x7B-v0.1, base_model:finetune:mistralai/Mixtral-8x7B-v0.1, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",7000000000.0,text-generation,
meta-llama/Llama-2-7b,,,4367,0,"facebook, meta, pytorch, llama, llama-2, text-generation, en, arxiv:2307.09288, license:llama2, region:us",7000000000.0,text-generation,
meta-llama/Llama-3.1-8B-Instruct,,,4311,6252541,"transformers, safetensors, llama, text-generation, facebook, meta, pytorch, llama-3, conversational, en, de, fr, it, pt, hi, es, th, arxiv:2204.05149, base_model:meta-llama/Llama-3.1-8B, base_model:finetune:meta-llama/Llama-3.1-8B, license:llama3.1, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",8000000000.0,text-generation,
black-forest-labs/FLUX.1-schnell,,,4095,651488,"diffusers, safetensors, text-to-image, image-generation, flux, en, license:apache-2.0, endpoints_compatible, diffusers:FluxPipeline, region:us",,text-to-image,
meta-llama/Meta-Llama-3-8B-Instruct,,,4073,1484139,"transformers, safetensors, llama, text-generation, facebook, meta, pytorch, llama-3, conversational, en, license:llama3, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",8000000000.0,text-generation,
stabilityai/stable-diffusion-2-1,,,4010,959890,"diffusers, safetensors, stable-diffusion, text-to-image, arxiv:2112.10752, arxiv:2202.00512, arxiv:1910.09700, license:openrail++, autotrain_compatible, endpoints_compatible, diffusers:StableDiffusionPipeline, region:us",,text-to-image,
deepseek-ai/DeepSeek-V3,,,3916,419211,"transformers, safetensors, deepseek_v3, text-generation, conversational, custom_code, arxiv:2412.19437, autotrain_compatible, text-generation-inference, endpoints_compatible, fp8, region:us",,text-generation,
mistralai/Mistral-7B-v0.1,,,3885,491165,"transformers, pytorch, safetensors, mistral, text-generation, pretrained, en, arxiv:2310.06825, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",7000000000.0,text-generation,
lllyasviel/ControlNet-v1-1,,,3876,0,"license:openrail, region:us",,,
WarriorMama777/OrangeMixs,,,3849,2205,"diffusers, stable-diffusion, text-to-image, dataset:Nerfgun3/bad_prompt, license:creativeml-openrail-m, autotrain_compatible, endpoints_compatible, diffusers:StableDiffusionPipeline, region:us",,text-to-image,
lllyasviel/ControlNet,,,3727,0,"license:openrail, region:us",,,
sentence-transformers/all-MiniLM-L6-v2,,,3677,88362912,"sentence-transformers, pytorch, tf, rust, onnx, safetensors, openvino, bert, feature-extraction, sentence-similarity, transformers, en, dataset:s2orc, dataset:flax-sentence-embeddings/stackexchange_xml, dataset:ms_marco, dataset:gooaq, dataset:yahoo_answers_topics, dataset:code_search_net, dataset:search_qa, dataset:eli5, dataset:snli, dataset:multi_nli, dataset:wikihow, dataset:natural_questions, dataset:trivia_qa, dataset:embedding-data/sentence-compression, dataset:embedding-data/flickr30k-captions, dataset:embedding-data/altlex, dataset:embedding-data/simple-wiki, dataset:embedding-data/QQP, dataset:embedding-data/SPECTER, dataset:embedding-data/PAQ_pairs, dataset:embedding-data/WikiAnswers, arxiv:1904.06472, arxiv:2102.07033, arxiv:2104.08727, arxiv:1704.05179, arxiv:1810.09305, license:apache-2.0, autotrain_compatible, text-embeddings-inference, endpoints_compatible, region:us",,sentence-similarity,
deepseek-ai/Janus-Pro-7B,,,3458,105070,"transformers, pytorch, multi_modality, muiltimodal, text-to-image, unified-model, any-to-any, arxiv:2501.17811, license:mit, endpoints_compatible, region:us",7000000000.0,any-to-any,
microsoft/phi-2,,,3364,722452,"transformers, safetensors, phi, text-generation, nlp, code, en, license:mit, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",,text-generation,
google/gemma-7b,,,3182,73221,"transformers, safetensors, gguf, gemma, text-generation, arxiv:2305.14314, arxiv:2312.11805, arxiv:2009.03300, arxiv:1905.07830, arxiv:1911.11641, arxiv:1904.09728, arxiv:1905.10044, arxiv:1907.10641, arxiv:1811.00937, arxiv:1809.02789, arxiv:1911.01547, arxiv:1705.03551, arxiv:2107.03374, arxiv:2108.07732, arxiv:2110.14168, arxiv:2304.06364, arxiv:2206.04615, arxiv:1804.06876, arxiv:2110.08193, arxiv:2009.11462, arxiv:2101.11718, arxiv:1804.09301, arxiv:2109.07958, arxiv:2203.09509, license:gemma, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",7000000000.0,text-generation,
prompthero/openjourney,,,3141,8428,"diffusers, safetensors, stable-diffusion, text-to-image, en, license:creativeml-openrail-m, autotrain_compatible, endpoints_compatible, diffusers:StableDiffusionPipeline, region:us",,text-to-image,
stabilityai/stable-video-diffusion-img2vid-xt,,,3098,162444,"diffusers, safetensors, image-to-video, license:other, diffusers:StableVideoDiffusionPipeline, region:us",,image-to-video,
deepseek-ai/DeepSeek-V3-0324,,,3000,535192,"transformers, safetensors, deepseek_v3, text-generation, conversational, custom_code, arxiv:2412.19437, license:mit, autotrain_compatible, text-generation-inference, endpoints_compatible, fp8, region:us",,text-generation,
stabilityai/stable-diffusion-3.5-large,,,2996,111882,"diffusers, safetensors, text-to-image, stable-diffusion, en, arxiv:2403.03206, license:other, diffusers:StableDiffusion3Pipeline, region:us",,text-to-image,
bigcode/starcoder,,,2881,17593,"transformers, pytorch, safetensors, gpt_bigcode, text-generation, code, dataset:bigcode/the-stack-dedup, arxiv:1911.02150, arxiv:2205.14135, arxiv:2207.14255, arxiv:2305.06161, license:bigcode-openrail-m, model-index, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",,text-generation,
coqui/XTTS-v2,,,2873,2255317,"coqui, text-to-speech, license:other, region:us",,text-to-speech,
mistralai/Mistral-7B-Instruct-v0.2,,,2866,1665908,"transformers, pytorch, safetensors, mistral, text-generation, finetuned, conversational, arxiv:2310.06825, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",7000000000.0,text-generation,
THUDM/chatglm-6b,,,2862,2330,"transformers, pytorch, chatglm, glm, thudm, custom_code, zh, en, arxiv:2103.10360, arxiv:2210.02414, arxiv:2406.12793, endpoints_compatible, region:us",6000000000.0,,
openai-community/gpt2,,,2845,14812861,"transformers, pytorch, tf, jax, tflite, rust, onnx, safetensors, gpt2, text-generation, exbert, en, doi:10.57967/hf/0039, license:mit, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",,text-generation,
CompVis/stable-diffusion-v-1-4-original,,,2807,0,"stable-diffusion, text-to-image, arxiv:2207.12598, arxiv:2112.10752, arxiv:2103.00020, arxiv:2205.11487, arxiv:1910.09700, license:creativeml-openrail-m, region:us",,text-to-image,
Qwen/QwQ-32B,,,2804,222357,"transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071, arxiv:2412.15115, base_model:Qwen/Qwen2.5-32B, base_model:finetune:Qwen/Qwen2.5-32B, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",32000000000.0,text-generation,
nari-labs/Dia-1.6B,,,2635,95047,"safetensors, model_hub_mixin, pytorch_model_hub_mixin, text-to-speech, en, arxiv:2305.09636, license:apache-2.0, region:us",1600000000.0,text-to-speech,
openai/whisper-large-v3-turbo,,,2498,3268452,"transformers, safetensors, whisper, automatic-speech-recognition, audio, en, zh, de, es, ru, ko, fr, ja, pt, tr, pl, ca, nl, ar, sv, it, id, hi, fi, vi, he, uk, el, ms, cs, ro, da, hu, ta, no, th, ur, hr, bg, lt, la, mi, ml, cy, sk, te, fa, lv, bn, sr, az, sl, kn, et, mk, br, eu, is, hy, ne, mn, bs, kk, sq, sw, gl, mr, pa, si, km, sn, yo, so, af, oc, ka, be, tg, sd, gu, am, yi, lo, uz, fo, ht, ps, tk, nn, mt, sa, lb, my, bo, tl, mg, as, tt, haw, ln, ha, ba, jw, su, arxiv:2212.04356, base_model:openai/whisper-large-v3, base_model:finetune:openai/whisper-large-v3, license:mit, endpoints_compatible, region:us",,automatic-speech-recognition,
hakurei/waifu-diffusion,,,2444,3978,"diffusers, safetensors, stable-diffusion, text-to-image, en, license:creativeml-openrail-m, autotrain_compatible, endpoints_compatible, diffusers:StableDiffusionPipeline, region:us",,text-to-image,
meta-llama/Llama-3.3-70B-Instruct,,,2434,464616,"transformers, safetensors, llama, text-generation, facebook, meta, pytorch, llama-3, conversational, en, fr, it, pt, hi, es, th, de, arxiv:2204.05149, base_model:meta-llama/Llama-3.1-70B, base_model:finetune:meta-llama/Llama-3.1-70B, license:llama3.3, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",70000000000.0,text-generation,
stabilityai/sdxl-turbo,,,2431,238694,"diffusers, onnx, safetensors, text-to-image, license:other, autotrain_compatible, diffusers:StableDiffusionXLPipeline, region:us",,text-to-image,
tiiuae/falcon-40b,,,2430,11541,"transformers, pytorch, safetensors, falcon, text-generation, custom_code, en, de, es, fr, dataset:tiiuae/falcon-refinedweb, arxiv:2205.14135, arxiv:1911.02150, arxiv:2101.00027, arxiv:2005.14165, arxiv:2104.09864, arxiv:2306.01116, license:apache-2.0, autotrain_compatible, text-generation-inference, region:us",40000000000.0,text-generation,
